entry_time,exit_time,symbol,range_pos,whale_size,whale_ratio,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-20T06:41:59.083575+09:00,2026-07-21T06:42:16.334096+09:00,F,0.18,3256409,20.3,4.545,4.589,4.648,+0.97,1440,타임아웃24h
2026-07-21T06:05:20.012855+09:00,2026-07-21T06:42:40.399998+09:00,ACE,0.06,5084028,75.9,173,166,178,-4.05,37,손절-3.0%
2026-07-20T06:43:31.124511+09:00,2026-07-21T06:43:45.367667+09:00,TRUMP,0.29,8585058,119.8,2310,2322,2348,+0.52,1440,타임아웃24h
2026-07-20T06:43:54.088070+09:00,2026-07-21T06:44:07.663629+09:00,SUI,0.06,8922025,45.8,1100,1122,1130,+2.00,1440,타임아웃24h
2026-07-20T06:48:52.947077+09:00,2026-07-21T06:48:55.849714+09:00,WLD,0.23,7460504,17.5,530,550,553,+3.77,1440,타임아웃24h
2026-07-21T00:21:38.851547+09:00,2026-07-21T06:56:19.457608+09:00,AGLD,0.00,7840024,57.1,222,215,222,-3.15,395,손절-3.0%
2026-07-21T04:53:25.844232+09:00,2026-07-21T07:01:52.277526+09:00,HOME,0.15,4043947,44.1,10.43,10.1,10.43,-3.16,128,손절-3.0%
2026-07-21T04:19:55.162356+09:00,2026-07-21T07:14:09.599639+09:00,CSPR,0.01,3447190,17.4,2.466,2.386,2.539,-3.24,174,손절-3.0%
2026-07-20T22:23:33.090551+09:00,2026-07-21T07:22:46.265561+09:00,BEL,0.20,3547106,35.5,152,147,153,-3.29,539,손절-3.0%
2026-07-21T01:22:34.950120+09:00,2026-07-21T07:34:19.692064+09:00,ARX,0.12,4133442,57.5,230,223,232,-3.04,372,손절-3.0%
2026-07-20T07:40:41.303126+09:00,2026-07-21T07:40:41.548356+09:00,RPL,0.05,7819037,193.5,2644,2619,2708,-0.95,1440,타임아웃24h
2026-07-20T07:43:49.858114+09:00,2026-07-21T07:44:00.835509+09:00,INJ,0.23,5769435,61.1,7495,7770,7940,+3.67,1440,타임아웃24h
2026-07-20T07:50:23.578426+09:00,2026-07-21T07:50:39.631306+09:00,TRUST,0.09,3229875,17.0,69.05,70.55,71.13,+2.17,1440,타임아웃24h
2026-07-20T20:29:09.624095+09:00,2026-07-21T08:07:39.804083+09:00,YB,0.17,8068376,61.8,118,114,123,-3.39,699,손절-3.0%
2026-07-20T08:35:43.937548+09:00,2026-07-21T08:35:53.706450+09:00,BONK,0.25,8126984,38.7,0.0049,0.0049,0.005,+0.00,1440,타임아웃24h
2026-07-21T08:22:52.753600+09:00,2026-07-21T08:48:28.464535+09:00,HEMI,0.22,3352699,41.6,10.09,9.755,10.48,-3.32,26,손절-3.0%
2026-07-20T09:54:02.699099+09:00,2026-07-21T09:02:18.930050+09:00,MEGA,0.13,10416656,26.7,63.34,61.42,63.97,-3.03,1388,손절-3.0%
2026-07-21T04:21:47.661041+09:00,2026-07-21T09:02:20.099206+09:00,BILL,0.14,7358009,147.2,35.31,34.16,36.05,-3.26,281,손절-3.0%
2026-07-20T09:03:59.662309+09:00,2026-07-21T09:04:08.355370+09:00,XLM,0.17,24368064,406.1,277,275,280,-0.72,1440,타임아웃24h
2026-07-20T09:11:12.076577+09:00,2026-07-21T09:04:52.078421+09:00,H,0.00,7949215,105.0,46.88,45.46,47.5,-3.03,1434,손절-3.0%
2026-07-20T22:36:00.623449+09:00,2026-07-21T09:11:49.128036+09:00,SOLV,0.00,4120245,23.8,3.8,3.612,3.838,-4.95,636,손절-3.0%
2026-07-21T07:14:30.288212+09:00,2026-07-21T09:48:47.975205+09:00,CSPR,0.01,3447190,17.4,2.386,2.381,2.517,-0.21,154,트레일(고점+5.5%)
2026-07-20T22:17:32.487291+09:00,2026-07-21T09:55:01.841592+09:00,RE,0.04,3700016,15.4,530,533,560,+0.57,697,트레일(고점+5.7%)
2026-07-20T10:04:14.524592+09:00,2026-07-21T10:04:33.789207+09:00,LSK,0.00,7154851,75.7,123,125,125,+1.63,1440,타임아웃24h
2026-07-21T05:17:26.258849+09:00,2026-07-21T10:08:59.388499+09:00,CAP,0.07,3603801,36.0,28.97,29.07,30.61,+0.35,292,트레일(고점+5.7%)
