pump_id,coin,entry_ts,entry_price,exit_ts,exit_price,exit_reason,hold_sec,pnl_pct,slippage
382,AVL,1779361427.0,53.1522,1779361966.0,51.1168,시간초과,539,-0.04329380533637371,0.02
384,YB,1779370339.0,181.56,1779370379.0,176.4,시간초과,40,-0.03342035690680765,0.02
387,OXT,1779377148.0,17.697000000000003,1779377265.0,16.8952,시간초과,117,-0.050307114200147114,0.02
388,AGI,1779378941.0,12.6174,1779378961.0,12.0638,손절,20,-0.04887591738393008,0.02
390,AVL,1779380113.0,59.0988,1779380545.0,57.0654,시간초과,432,-0.03940678998558347,0.02
392,PONKE,1779381726.0,57.0588,1779381766.0,56.986999999999995,익절,40,-0.006258351034371617,0.02
398,BOB,1779437546.0,14.494200000000001,1779437586.0,14.0434,시간초과,40,-0.03610209601081819,0.02
399,XTER,1779437787.0,28.192800000000002,1779437855.0,27.6164,시간초과,68,-0.025444936295791944,0.02
405,SUNDOG,1779464022.0,11.424,1779464022.0,10.975999999999999,시간초과,0,-0.044215686274509836,0.02
406,SYRUP,1779464392.0,532.44,1779464413.0,413.56,손절,21,-0.22827398392307122,0.02
407,MAY,1779464443.0,9.383999999999999,1779465006.0,8.978760000000001,시간초과,563,-0.048184143222506116,0.02
408,YFI,1779464503.0,3819900.0,1779464804.0,3629920.0,손절,301,-0.05473428623785963,0.02
409,GNO,1779464694.0,183090.0,1779464805.0,173558.0,손절,111,-0.057061827516521925,0.02
410,ALLO,1779464991.0,149.94,1779465435.0,146.02,시간초과,444,-0.03114379084967312,0.02
411,SUNDOG,1779465348.0,11.954400000000001,1779465459.0,11.309199999999999,손절,111,-0.05897175935220526,0.02
414,GMT,1779516257.0,18.1254,1779516277.0,17.15,손절,20,-0.05881398479481835,0.02
415,PUFFER,1779522624.0,39.504599999999996,1779522637.0,37.0244,손절,13,-0.06778256203075077,0.02
420,GRACY,1779547614.0,14.790000000000001,1779547674.0,14.0434,손절,60,-0.055480054090601805,0.02
421,BOB,1779549178.0,14.2188,1779549198.0,13.7298,시간초과,20,-0.03939108785551528,0.02
423,BOB,1779549178.0,14.2188,1779549550.0,13.9356,시간초과,372,-0.024917292598531454,0.02
426,RESOLV,1779550223.0,60.0678,1779550304.0,54.7036,손절,81,-0.09430242159692875,0.02
427,PEAQ,1779550344.0,48.4602,1779550746.0,50.176,익절,402,0.030406374715746146,0.02
428,ID,1779550354.0,48.6336,1779550374.0,46.648,손절,20,-0.04582774049216998,0.02
430,GHX,1779551289.0,12.729600000000001,1779551598.0,12.1324,손절,309,-0.05191427853192565,0.02
436,GHX,1779590309.0,14.6064,1779590349.0,13.7494,손절,40,-0.06367291050498419,0.02
437,SWAP,1779591330.0,85.68,1779591640.0,80.35019999999999,손절,310,-0.0672058823529414,0.02
438,GHX,1779591862.0,15.024600000000001,1779591892.0,14.259,손절,30,-0.05595643145241809,0.02
439,STAT,1779593515.0,60.435,1779593545.0,56.8204,손절,30,-0.06480971291470179,0.02
442,STAT,1779597861.0,63.556200000000004,1779597901.0,59.5938,손절,40,-0.06734482237767522,0.02
443,GHX,1779598774.0,15.4836,1779598806.0,14.6902,손절,32,-0.056241313389650875,0.02
445,GHX,1779600389.0,15.6468,1779600401.0,14.9352,시간초과,12,-0.05047894777206845,0.02
447,STAT,1779602435.0,72.1242,1779602455.0,65.66,손절,20,-0.09462595079044211,0.02
448,STAT,1779604539.0,76.4286,1779604609.0,72.7944,손절,70,-0.05255026259803276,0.02
452,WNCG,1779613982.0,16.3914,1779614022.0,15.4056,손절,40,-0.06514129360518327,0.02
454,SIX,1779635046.0,15.616200000000001,1779635066.0,14.552999999999999,손절,20,-0.07308314442694137,0.02
455,SIX,1779635065.0,15.147,1779635086.0,14.8666,손절,21,-0.02351191655113225,0.02
457,RESOLV,1779634995.0,42.3504,1779635015.0,39.2,손절,20,-0.07938890777891112,0.02
458,RESOLV,1779634996.0,42.33,1779635016.0,39.1804,손절,20,-0.07940585872903377,0.02
460,RSS3,1779636609.0,14.280000000000001,1779637087.0,13.7102,시간초과,478,-0.04490196078431377,0.02
477,C98,1779694485.0,30.4776,1779694585.0,29.3706,시간초과,100,-0.04132175761871011,0.02
478,C98,1779694416.0,30.773400000000002,1779694502.0,29.3706,손절,86,-0.050584823256448835,0.02
479,C98,1779694398.0,30.732599999999998,1779694498.0,29.2922,손절,100,-0.05186879730318934,0.02
