exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-07-01 05:00:02,IN,3.16,140.0000,137.0000,-2.14,손절-1.5%,True
2026-07-01 05:02:15,IN,2.55,135.0000,137.0000,+1.48,트레일(고점+3.0%),False
2026-07-01 05:03:11,IN,2.53,137.0000,138.0000,+0.73,트레일(고점+3.6%),False
2026-07-01 05:03:13,TAIKO,2.88,141.0000,140.0000,-0.71,타임아웃15분,False
2026-07-01 05:04:44,IN,3.90,139.0000,135.0000,-2.88,손절-1.5%,True
2026-07-01 05:08:23,MOC,2.82,25.6100,25.5800,-0.12,트레일(고점+1.4%),False
2026-07-01 05:08:27,MOC,3.20,25.5800,25.5800,+0.00,트레일(고점+1.1%),True
2026-07-01 05:08:41,MOC,2.90,25.5800,25.5800,+0.00,트레일(고점+1.3%),False
2026-07-01 05:08:44,IN,1.83,130.0000,129.0000,-0.77,트레일(고점+1.5%),False
2026-07-01 05:17:12,IN,2.51,138.0000,134.0000,-2.90,손절-1.5%,False
2026-07-01 05:19:36,IN,1.79,137.0000,134.0000,-2.19,손절-1.5%,False
2026-07-01 05:19:40,TAIKO,1.90,140.0000,138.0000,-1.43,타임아웃15분,False
2026-07-01 05:22:03,IN,3.31,134.0000,131.0000,-2.24,손절-1.5%,True
2026-07-01 05:22:52,IN,3.40,130.0000,128.0000,-1.54,손절-1.5%,True
2026-07-01 05:23:52,CARV,1.89,52.7700,52.6600,-0.21,타임아웃15분,False
2026-07-01 05:24:13,IN,4.16,129.0000,127.0000,-1.55,손절-1.5%,True
2026-07-01 05:25:42,TOKAMAK,1.52,521.0000,530.0000,+1.73,타임아웃15분,False
2026-07-01 05:28:02,IN,1.92,128.0000,126.0000,-1.56,손절-1.5%,False
2026-07-01 05:30:57,IN,2.03,118.0000,116.0000,-1.69,손절-1.5%,False
2026-07-01 05:38:57,IN,1.89,115.0000,115.0000,+0.00,트레일(고점+1.7%),False
2026-07-01 05:46:55,TAIKO,1.89,137.0000,137.0000,+0.00,트레일(고점+2.2%),False
2026-07-01 05:49:21,IN,2.83,114.0000,112.0000,-1.75,손절-1.5%,False
2026-07-01 05:58:01,IN,2.87,111.0000,111.0000,+0.00,트레일(고점+1.8%),False
2026-07-01 06:00:33,IN,2.88,113.0000,111.0000,-1.77,손절-1.5%,False
2026-07-01 06:03:42,MOC,2.52,25.7000,25.7700,+0.27,트레일(고점+1.4%),False
2026-07-01 06:09:07,IN,1.98,109.0000,107.0000,-1.83,손절-1.5%,False
2026-07-01 06:09:57,IN,3.82,107.0000,107.0000,+0.00,트레일(고점+1.9%),True
2026-07-01 06:16:43,EDGE,1.80,114.0000,112.0000,-1.75,손절-1.5%,False
2026-07-01 06:17:45,IN,2.00,107.0000,105.0000,-1.87,손절-1.5%,False
2026-07-01 06:19:04,IN,3.87,105.0000,103.0000,-1.90,손절-1.5%,True
2026-07-01 06:30:20,EDGE,1.80,112.0000,112.0000,+0.00,트레일(고점+1.8%),False
2026-07-01 06:38:05,IN,2.00,106.0000,104.0000,-1.89,손절-1.5%,False
