exit_time,coin,entry,exit,pnl_pct,reason,held_min
2026-08-04 18:57:53,CYS,607.0000,588.0000,-3.13,SL-3.0%,6
2026-08-04 18:59:57,CYS,588.0000,607.0000,+3.23,TP+3.0%,2
2026-08-04 19:10:14,CYS,603.0000,624.0000,+3.48,TP+3.0%,7
2026-08-04 19:29:54,CYS,597.0000,617.0000,+3.35,TP+3.0%,17
2026-08-04 19:35:05,CYS,614.0000,586.0000,-4.56,SL-3.0%,3
2026-08-05 00:15:44,XTER,13.7800,14.3300,+3.99,TP+3.0%,8
2026-08-05 00:25:59,XTER,14.3200,14.8000,+3.35,TP+3.0%,9
2026-08-05 00:35:11,XTER,14.5300,13.9200,-4.20,SL-3.0%,8
2026-08-05 00:42:20,XTER,14.4500,14.0000,-3.11,SL-3.0%,5
2026-08-05 00:55:38,XTER,13.9300,14.3600,+3.09,TP+3.0%,11
2026-08-05 01:19:11,XTER,14.3600,14.8700,+3.55,TP+3.0%,24
2026-08-07 11:21:58,KMNO,29.3200,30.4600,+3.89,TP+3.0%,10
2026-08-07 11:55:38,KMNO,30.8900,29.7400,-3.72,SL-3.0%,30
2026-08-07 16:34:44,SNX,434.0000,450.0000,+3.69,TP+3.0%,2
2026-08-07 16:42:48,SNX,465.0000,482.0000,+3.66,TP+3.0%,1
2026-08-11 06:59:21,RAD,348.0000,360.0000,+3.45,TP+3.0%,5
2026-08-11 07:00:21,RAD,360.0000,372.0000,+3.33,TP+3.0%,1
2026-08-12 00:21:58,AVAIL,4.0850,3.8750,-5.14,SL-3.0%,2
2026-08-12 00:22:58,AVAIL,3.8750,3.7080,-4.31,SL-3.0%,1
2026-08-12 00:23:58,AVAIL,3.7080,3.5480,-4.31,SL-3.0%,1
2026-08-12 00:24:59,AVAIL,3.5480,3.7880,+6.76,TP+3.0%,1
2026-08-12 00:25:59,AVAIL,3.7880,3.9390,+3.99,TP+3.0%,1
2026-08-12 00:26:59,AVAIL,3.9390,3.7960,-3.63,SL-3.0%,1
