entry_date,exit_date,symbol,coin,entry_price,exit_price,mom_pct_at_entry,notional_usdt,pnl_pct,pnl_usdt,reason,hold_days,mfe_pct,mae_pct
2025-06-11,2025-06-13,KAIAUSDT,KAIA,234.0,219.0,39.29,30.0,-6.4103,-1.9231,랭크아웃(Top3이탈),2,4.27,-6.41
2025-06-10,2025-06-14,XPLAUSDT,XPLA,80.91,71.62,47.78,30.0,-11.4819,-3.4446,랭크아웃(Top3이탈),4,7.53,-11.48
2025-06-13,2025-06-15,FANCUSDT,FANC,11.77,8.484,81.22,30.0,-27.9184,-8.3755,스탑-20%,2,0.0,-27.92
2025-06-14,2025-06-15,MAPOUSDT,MAPO,10.11,8.216,51.3,30.0,-18.7339,-5.6202,랭크아웃(Top3이탈),1,0.0,-18.73
2025-06-15,2025-06-16,LWPUSDT,LWP,28.14,28.31,38.01,30.0,0.6041,0.1812,랭크아웃(Top3이탈),1,0.6,-0.0
2025-06-16,2025-06-18,KAIAUSDT,KAIA,223.0,222.0,39.38,30.0,-0.4484,-0.1345,랭크아웃(Top3이탈),2,0.0,-2.69
2025-06-15,2025-06-19,XPLAUSDT,XPLA,78.74,73.37,43.74,30.0,-6.8199,-2.046,랭크아웃(Top3이탈),4,0.0,-6.82
2025-06-18,2025-06-20,FANCUSDT,FANC,9.134,8.375,53.15,30.0,-8.3096,-2.4929,랭크아웃(Top3이탈),2,1.0,-8.31
2025-06-12,2025-06-26,MEVUSDT,MEV,17.5,13.04,327.25,30.0,-25.4857,-7.6457,스탑-20%,14,13.94,-25.49
2025-06-19,2025-06-28,AEROUSDT,AERO,1262.0,1034.0,68.49,30.0,-18.0666,-5.42,랭크아웃(Top3이탈),9,0.0,-18.07
2025-06-20,2025-06-29,KAIAUSDT,KAIA,268.0,230.0,79.87,30.0,-14.1791,-4.2537,랭크아웃(Top3이탈),9,4.85,-14.18
2025-06-26,2025-06-30,MEVUSDT,MEV,13.04,10.37,253.39,30.0,-20.4755,-6.1426,스탑-20%,4,0.0,-20.48
2025-06-29,2025-07-01,AEROUSDT,AERO,1058.0,1040.0,48.39,30.0,-1.7013,-0.5104,랭크아웃(Top3이탈),2,5.86,-1.7
2025-06-30,2025-07-02,MEVUSDT,MEV,10.37,8.648,86.61,30.0,-16.6056,-4.9817,랭크아웃(Top3이탈),2,0.0,-16.61
2025-07-02,2025-07-03,AEROUSDT,AERO,1093.0,1054.0,43.25,30.0,-3.5682,-1.0704,랭크아웃(Top3이탈),1,0.0,-3.57
2025-07-01,2025-07-06,HFTUSDT,HFT,181.0,134.0,103.6,30.0,-25.9669,-7.7901,스탑-20%,5,4.97,-25.97
